value_decimal,initial_num_gates,lowest_gates,delta_gates
1767,16,11,5
1776,11,9,2
1783,11,11,0
1724,15,12,3
1782,12,9,3
1790,11,11,0
1791,10,8,2
1713,17,13,4
1779,10,9,1
1763,15,13,2
1717,15,15,0
1725,15,14,1
1771,16,14,2
1720,19,15,4
1922,13,10,3
1785,12,11,1
1910,14,12,2
1941,12,12,0
1915,12,11,1
1923,13,12,1
1926,18,12,6
1936,15,10,5
1949,13,12,1
1951,11,11,0
1955,10,10,0
1943,13,12,1
1723,13,12,1
1957,10,10,0
1958,13,10,3
1953,13,10,3
1913,15,15,0
1956,14,12,2
1912,12,9,3
1948,15,15,0
1942,15,12,3
1964,14,11,3
1914,13,11,2
1970,15,10,5
1898,12,11,1
1786,12,11,1
1938,17,15,2
1966,12,10,2
1969,15,9,6
1973,12,12,0
1972,12,12,0
1965,11,10,1
1981,14,13,1
1976,11,11,0
1961,15,15,0
1978,12,12,0
2022,14,10,4
2017,13,11,2
2020,12,12,0
1980,13,12,1
2026,11,11,0
2031,10,8,2
2033,11,9,2
2040,8,8,0
2027,12,12,0
2024,13,12,1
2019,13,13,0
2034,11,9,2
2030,12,10,2
2189,9,7,2
2038,15,12,3
2200,10,8,2
2153,13,11,2
2042,12,11,1
2178,13,10,3
2185,13,12,1
2041,14,11,3
2203,12,7,5
2130,13,10,3
2182,18,13,5
2219,9,8,1
2207,12,12,0
2217,13,12,1
2225,13,10,3
2211,14,12,2
2190,11,10,1
2177,17,12,5
2046,14,14,0
2236,14,9,5
2194,15,14,1
2183,13,12,1
2242,11,11,0
2206,15,13,2
2283,9,9,0
2251,12,9,3
2291,7,7,0
2214,14,10,4
2272,12,9,3
2281,13,13,0
2295,10,9,1
2287,11,9,2
2297,13,12,1
2289,15,12,3
2302,13,10,3
2278,15,11,4
2262,16,13,3
2336,17,11,6
2392,14,14,0
2425,12,12,0
2449,11,10,1
2448,12,10,2
2294,14,12,2
2459,13,10,3
2408,16,16,0
2467,12,11,1
2475,11,8,3
2483,11,11,0
2472,13,10,3
2488,13,10,3
2458,15,10,5
2511,11,9,2
2513,11,9,2
2490,13,13,0
2493,16,10,6
2456,13,11,2
2473,9,9,0
2450,16,14,2
2482,15,11,4
2476,16,14,2
2454,14,13,1
2528,15,10,5
2531,15,12,3
2539,14,14,0
2537,12,12,0
2534,15,12,3
2492,15,13,2
2544,11,10,1
2545,9,9,0
2455,17,13,4
2555,11,8,3
2462,17,13,4
2526,17,14,3
2552,11,10,1
2553,12,8,4
2542,13,12,1
2543,11,11,0
2551,14,13,1
2597,11,10,1
2498,15,14,1
2547,11,10,1
2554,11,10,1
2550,12,12,0
2649,10,9,1
2693,10,9,1
2646,11,9,2
2661,10,10,0
2535,15,14,1
2530,19,17,2
2731,10,10,0
2709,9,9,0
2711,15,15,0
2718,14,11,3
2739,9,9,0
2558,17,15,2
2669,15,15,0
2667,14,12,2
2741,12,11,1
2743,11,11,0
2723,12,9,3
2744,11,8,3
2755,12,9,3
2742,16,16,0
2738,12,11,1
2727,11,11,0
2770,11,8,3
2776,11,9,2
2732,11,10,1
2773,9,9,0
2765,12,8,4
2745,12,12,0
2759,13,13,0
2758,10,9,1
2771,13,10,3
2769,14,13,1
2780,11,11,0
2779,12,9,3
2782,10,9,1
2795,12,11,1
2733,12,12,0
2777,14,11,3
2796,10,9,1
2788,12,10,2
2792,13,11,2
2804,11,11,0
2775,12,11,1
2801,12,10,2
2789,13,12,1
2797,12,12,0
2960,11,9,2
2807,10,9,1
2922,12,12,0
2813,11,10,1
2994,13,10,3
2814,9,8,1
2809,12,11,1
2761,12,12,0
2989,15,14,1
3001,14,10,4
2812,11,9,2
2806,13,12,1
3000,12,10,2
2997,13,10,3
3002,9,9,0
2999,12,10,2
3033,14,9,5
3027,11,8,3
3031,10,10,0
3026,13,11,2
3025,14,12,2
3032,13,13,0
3035,12,8,4
2996,13,12,1
3042,15,13,2
3044,11,11,0
3048,15,12,3
3038,14,14,0
3006,13,12,1
3057,11,10,1
3058,11,10,1
3041,12,12,0
2998,15,15,0
3064,10,9,1
3060,9,9,0
3034,13,13,0
3043,12,11,1
3004,14,12,2
3294,12,10,2
3065,15,11,4
3302,13,10,3
3580,9,9,0
3069,14,14,0
3564,9,9,0
3052,12,12,0
3680,11,9,2
3045,15,14,1
3494,15,15,0
3429,13,14,-1
3053,15,14,1
3810,12,9,3
3068,13,12,1
3738,13,14,-1
3814,14,9,5
3816,13,11,2
3818,8,8,0
3751,15,14,1
3823,10,8,2
3825,10,8,2
3811,14,11,3
3836,8,8,0
3889,8,8,0
3838,8,8,0
3826,10,9,1
3478,18,14,4
4081,11,8,3
4082,10,9,1
3830,15,12,3
3827,13,10,3
4088,9,8,1
3819,13,11,2
4087,10,9,1
3809,14,13,1
4222,13,10,3
3831,14,12,2
4103,12,10,2
4089,14,11,3
4086,14,12,2
4022,14,13,1
4091,11,9,2
4094,12,11,1
3817,15,15,0
4201,13,13,0
4333,14,13,1
5064,11,9,2
5042,13,10,3
4929,12,10,2
5174,11,9,2
4653,13,12,1
5196,12,11,1
4837,14,13,1
4290,13,11,2
4916,13,13,0
4230,20,16,4
4993,15,10,5
4801,14,13,1
4809,18,13,5
5442,12,12,0
5291,11,10,1
5245,12,9,3
5269,12,12,0
4847,15,15,0
4777,14,14,0
5097,14,13,1
5318,14,10,4
5270,11,10,1
5507,14,9,5
5320,15,14,1
5025,11,12,-1
5354,11,11,0
5666,13,11,2
4841,18,14,4
5464,15,11,4
5674,12,9,3
5730,14,14,0
5764,13,10,3
5786,12,10,2
5782,13,13,0
5742,16,16,0
5736,17,17,0
5806,14,12,2
5759,15,13,2
5820,14,12,2
5822,12,10,2
5800,18,12,6
5802,12,9,3
5770,15,14,1
5769,22,13,9
5763,17,16,1
5783,16,16,0
5761,16,15,1
5791,16,13,3
5811,12,11,1
5823,13,11,2
5743,18,14,4
5834,16,16,0
5826,19,14,5
5739,19,17,2
5821,15,14,1
5737,21,14,7
5773,16,14,2
5827,12,11,1
5853,15,15,0
5887,14,11,3
5861,15,13,2
5864,18,15,3
6026,16,11,5
6024,13,8,5
6003,12,10,2
5865,16,14,2
5884,13,11,2
6015,14,11,3
5886,13,11,2
6031,15,12,3
5871,17,15,2
6019,17,13,4
6010,14,11,3
6047,10,10,0
5950,14,13,1
6037,14,13,1
5867,16,15,1
6036,15,14,1
6027,16,11,5
6039,13,10,3
5992,16,13,3
6040,16,13,3
6014,17,15,2
6044,12,12,0
6038,17,17,0
6056,10,9,1
6017,15,15,0
6041,15,12,3
6046,15,15,0
6076,16,13,3
6059,14,11,3
6069,13,13,0
6109,11,10,1
6092,11,11,0
6073,17,14,3
6078,14,13,1
6057,16,15,1
6124,12,12,0
6120,12,11,1
6123,14,13,1
6280,9,8,1
6141,13,13,0
6208,15,12,3
6184,13,12,1
6142,16,15,1
6272,15,15,0
6256,14,11,3
6296,11,8,3
6298,13,10,3
6274,18,18,0
6180,13,10,3
6081,15,14,1
6287,17,13,4
6299,15,11,4
6121,17,16,1
6281,15,12,3
6283,14,12,2
6240,19,14,5
6181,15,13,2
6273,16,11,5
6312,13,10,3
6307,12,11,1
6303,16,12,4
6320,11,10,1
6291,15,12,3
6275,13,11,2
6332,16,11,5
6314,13,11,2
6302,15,14,1
6329,16,12,4
6335,12,12,0
6334,17,13,4
6364,10,9,1
6384,13,10,3
6351,13,13,0
6399,13,8,5
6375,14,11,3
6394,11,11,0
6347,15,15,0
6363,14,14,0
6353,14,13,1
6356,16,16,0
6544,11,9,2
6545,9,9,0
6370,12,12,0
6398,15,12,3
6324,15,13,2
