value_decimal,initial_num_gates,lowest_gates,delta_gates
2459,13,10,3
2449,11,10,1
2425,12,10,2
2456,13,10,3
2408,16,16,0
2475,11,8,3
2472,13,10,3
2483,11,11,0
2467,12,11,1
2473,9,9,0
2488,13,10,3
2482,15,11,4
2458,15,10,5
2450,16,16,0
2490,13,13,0
2513,11,9,2
2511,11,10,1
2493,16,11,5
2455,17,13,4
2454,14,13,1
2539,14,12,2
2528,15,10,5
2476,16,15,1
2545,9,9,0
2537,12,12,0
2555,11,11,0
2492,15,13,2
2534,15,12,3
2553,12,8,4
2544,11,10,1
2531,15,12,3
2498,15,14,1
2462,17,15,2
2552,11,10,1
2597,11,10,1
2543,11,11,0
2551,14,13,1
2550,12,12,0
2547,11,10,1
2542,13,12,1
2526,17,14,3
2554,11,10,1
2649,10,9,1
2693,10,9,1
2530,19,15,4
2646,11,9,2
2535,15,14,1
2661,10,10,0
2739,9,9,0
2731,10,8,2
2669,15,15,0
2709,9,9,0
2718,14,11,3
2558,17,18,-1
2738,12,10,2
2711,15,15,0
2741,12,9,3
2744,11,8,3
2723,12,9,3
2667,14,12,2
2743,11,11,0
2732,11,10,1
2727,11,11,0
2742,16,16,0
2770,11,8,3
2755,12,9,3
2773,9,9,0
2733,12,12,0
2758,10,9,1
2765,12,8,4
2771,13,10,3
2769,14,13,1
2779,12,9,3
2776,11,12,-1
2759,13,13,0
2780,11,11,0
2745,12,12,0
2782,10,9,1
2775,12,11,1
2788,12,9,3
2804,11,11,0
2789,13,12,1
2796,10,9,1
2801,12,10,2
2807,10,9,1
2795,12,11,1
2777,14,11,3
2797,12,12,0
2761,12,12,0
2814,9,8,1
2792,13,11,2
2812,11,9,2
2922,12,12,0
2960,11,9,2
2994,13,10,3
2813,11,10,1
2806,13,12,1
2809,12,11,1
2989,15,14,1
3002,9,10,-1
3000,12,10,2
3001,14,10,4
3004,14,11,3
3033,14,9,5
3035,12,8,4
3027,11,11,0
3032,13,13,0
2999,12,10,2
3025,14,12,2
2997,13,10,3
3034,13,13,0
3031,10,10,0
3026,13,13,0
2996,13,12,1
3044,11,11,0
3042,15,10,5
3038,14,14,0
3041,12,12,0
3052,12,12,0
3048,15,13,2
2998,15,15,0
3006,13,12,1
3064,10,9,1
3057,11,10,1
3060,9,9,0
3053,15,14,1
3043,12,12,0
3045,15,12,3
3580,9,9,0
3564,9,9,0
3065,15,13,2
3068,13,12,1
3058,11,10,1
3429,13,13,0
3680,11,9,2
3810,12,9,3
3302,13,10,3
3069,14,14,0
3294,12,10,2
3494,15,15,0
3814,14,9,5
3818,8,8,0
3738,13,14,-1
3816,13,11,2
3825,10,8,2
3836,8,8,0
3826,10,9,1
3838,8,8,0
3751,15,14,1
3823,10,9,1
3811,14,11,3
3827,13,10,3
3830,15,12,3
3889,8,8,0
4082,10,9,1
4081,11,10,1
4088,9,8,1
3831,14,13,1
3819,13,11,2
